system,n,delta,family,index,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H1,20,0.1,S,9,1,1,0.0,0.0,10,1,1,9,0.0001831,4.650000000000005e-06,0.0001785,19480.0,19590.26,19739.0,20306.990700000002
H1,20,0.1,S,10,1,1,0.0,0.0,11,1,1,10,0.0001989,3.349999999999973e-06,0.0001949,21120.0,21236.219999999998,21393.0,21991.692900000002
H1,20,0.1,S,11,1,1,0.0,0.0,12,1,1,11,0.0002159,4.650000000000005e-06,0.0002102,22760.0,22882.18,23047.0,23676.3951
H1,20,0.1,S,12,1,1,0.0,0.0,13,1,1,12,0.0002334,7.150000000000011e-06,0.0002265,24400.0,24528.14,24701.0,25361.0973
H1,20,0.1,S,13,1,1,0.0,0.0,14,1,1,13,0.0002483,5.449999999999997e-06,0.0002413,26040.0,26174.1,26355.0,27045.7995
H1,20,0.1,S,14,1,1,0.0,0.0,15,1,1,14,0.0002642,9.64999999999999e-06,0.000257,27680.0,27820.059999999998,28009.0,28730.5017
H1,20,0.1,S,15,1,1,0.0,0.0,16,1,1,15,0.0002814,1.0099999999999974e-05,0.000272,29320.0,29466.019999999997,29663.0,30415.2039
H1,20,0.1,S,16,1,1,0.0,0.0,17,1,1,16,0.0002965,7.349999999999935e-06,0.0002873,30960.0,31111.98,31317.0,32099.9061
H1,20,0.1,S,17,1,1,0.0,0.0,18,1,1,17,0.0003125,8.799999999999997e-06,0.0003038,32600.0,32757.94,32971.0,33784.6083
H1,20,0.1,S,18,1,1,0.0,0.0,19,1,1,18,0.0003296,1.2850000000000014e-05,0.0003193,34240.0,34403.9,34625.0,35469.3105
H1,20,0.1,S,19,1,1,0.0,0.0,20,1,1,19,0.0003457,6.600000000000052e-06,0.0003356,35880.0,36049.86,36279.0,37154.0127
H1,20,0.1,S,20,1,1,0.0,0.0,21,1,1,20,0.0003585,1.225e-05,0.0003502,37520.0,37695.82,37933.0,38838.7149
H5,200,0.0999999999999992,P,2,2,1,0.0,0.0,5,2,2,5,0.0018788,0.0002603,0.0016622,6331400.0,6343677.600000001,6360240.0,6423486.532
H5,200,0.0999999999999992,P,3,2,1,0.0,0.0,7,2,2,7,0.0019648,0.00020665,0.0018048,6663800.0,6676196.800000001,6692920.0,6756780.575999999
H5,200,0.0999999999999992,P,4,1,1,8.042218859397987e-14,2.0546893234996993e-14,5,1,1,4,0.0010738,0.0001373,0.0009275,3541200.0,3547428.2,3555830.0,3587913.7989999996
H5,200,0.0999999999999992,P,5,1,1,0.0,0.0,6,1,1,5,0.0011231,0.0001111499999999,0.0009432,3707400.0,3713687.8000000003,3722170.0,3754560.8209999995
H5,200,0.0999999999999992,P,6,1,1,0.0,0.0,7,1,1,6,0.0011695,0.00012655,0.0009966,3873600.0,3879947.4000000004,3888510.0,3921207.8429999994
H5,200,0.0999999999999992,P,7,1,1,0.0,0.0,8,1,1,7,0.00117,0.0001539,0.0011049,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.0999999999999992,P,8,1,1,0.0,0.0,9,1,1,8,0.0012968,8.559999999999991e-05,0.0011311,4206000.0,4212466.600000001,4221190.0,4254501.887
H5,200,0.0999999999999992,P,9,1,1,0.0,0.0,10,1,1,9,0.0012904,0.00017055,0.0011458,4372200.0,4378726.2,4387530.0,4421148.909
H5,200,0.0999999999999992,P,10,1,1,0.0,0.0,11,1,1,10,0.0014227,0.0001487,0.0011733,4538400.0,4544985.800000001,4553870.0,4587795.931
H5,200,0.0999999999999992,P,11,1,1,0.0,0.0,12,1,1,11,0.0014021,0.0001777999999999,0.0012347,4704600.0,4711245.4,4720210.0,4754442.952999999
H5,200,0.0999999999999992,P,12,1,1,0.0,0.0,13,1,1,12,0.0014454,0.00015775,0.0012959,4870800.0,4877505.000000001,4886550.0,4921089.975
H5,200,0.0999999999999992,P,13,1,1,0.0,0.0,14,1,1,13,0.0015063,0.0001438999999999,0.0013817,5037000.0,5043764.600000001,5052890.0,5087736.9969999995
H5,200,0.0999999999999992,P,14,1,1,0.0,0.0,15,1,1,14,0.0014889,0.0001129499999999,0.0013926,5203200.0,5210024.200000001,5219230.0,5254384.018999999
H5,200,0.0999999999999992,P,15,1,1,0.0,0.0,16,1,1,15,0.0015457,0.0001183999999999,0.001429,5369400.0,5376283.800000001,5385570.0,5421031.040999999
H5,200,0.0999999999999992,P,16,1,1,0.0,0.0,17,1,1,16,0.0016528,0.0001361499999999,0.0014611,5535600.0,5542543.4,5551910.0,5587678.062999999
H5,200,0.0999999999999992,P,17,1,1,0.0,0.0,18,1,1,17,0.0016596,0.0001577499999999,0.0014904,5701800.0,5708803.000000001,5718250.0,5754325.084999999
H5,200,0.0999999999999992,P,18,1,1,0.0,0.0,19,1,1,18,0.0017357,0.0001230999999999,0.0016096,5868000.0,5875062.600000001,5884590.0,5920972.106999999
