kappa,system,n,N,q,p_reference,cost,eta
1.298,H3,100,4,6,31.874507866387546,1228277.7,2.818423361324169e-06
1.298,H3,100,5,2,17.774964387392124,930771.1,3.0918353311196e-06
1.298,H3,100,5,3,23.747340124470732,1050949.9,3.013912013740752e-06
1.298,H3,100,5,4,29.730919862656236,1171128.7,2.8965113544607694e-06
1.298,H3,100,5,5,35.72004514666935,1291307.5,2.769063154912379e-06
1.298,H3,100,5,6,41.420577856662135,1411486.2999999998,2.6381962099248326e-06
1.298,H3,100,5,7,44.91093483101497,1531665.0999999999,2.484016448854823e-06
1.298,H3,100,6,2,20.80776406404415,1033860.5,2.9359146513173778e-06
1.298,H3,100,6,3,27.78404875209022,1174069.0999999999,2.831572749953502e-06
1.298,H3,100,6,4,34.76991603917054,1314277.7,2.700154260600831e-06
1.298,H3,100,6,5,41.760539492026695,1454486.2999999998,2.5658212541165266e-06
1.298,H3,100,6,6,48.75386567126981,1594694.9,2.437321703431188e-06
1.298,H3,100,6,7,55.49545416973504,1734903.5,2.3149997164373804e-06
1.298,H3,100,6,8,59.93325909419152,1875112.0999999999,2.1829263406029347e-06
1.298,H4,150,2,2,8.531128874149275,1781571.8499999999,1.2032754639575864e-06
1.298,H4,150,2,3,10.898979485566356,1916705.9499999997,1.2462366278325525e-06
1.298,H4,150,2,4,11.65685424949238,2051840.0499999998,1.196922905661692e-06
1.298,H4,150,3,2,11.65685424949238,2015705.9499999997,1.2183792753099884e-06
1.298,H4,150,3,3,15.615773105863909,2195884.75,1.2515599919219007e-06
1.298,H4,150,3,4,19.165151389911678,2376063.55,1.24285126889485e-06
1.298,H4,150,3,5,20.807764064044157,2556242.3499999996,1.1874172217545456e-06
1.298,H4,150,4,2,14.72841614740048,2249840.05,1.1955421893474236e-06
1.298,H4,150,4,3,19.69535971483266,2475063.55,1.2041642569249818e-06
1.298,H4,150,4,4,24.67579566188592,2700287.05,1.1872155704590001e-06
1.298,H4,150,4,5,29.317821063276355,2925510.55,1.1547370965875584e-06
1.298,H4,150,4,6,31.874507866387546,3150734.05,1.0987301717431592e-06
1.298,H4,150,5,2,17.774964387392124,2483974.15,1.1585430436806496e-06
1.298,H4,150,5,3,23.747340124470732,2754242.3499999996,1.1500333401850575e-06
1.298,H4,150,5,4,29.730919862656236,3024510.55,1.1215657942025959e-06
1.298,H4,150,5,5,35.72004514666935,3294778.75,1.0852662018388994e-06
1.298,H4,150,5,6,41.420577856662135,3565046.9499999997,1.044524198207495e-06
1.298,H4,150,5,7,44.91093483101497,3835315.15,9.920126909354154e-07
1.298,H4,150,6,2,20.80776406404415,2718108.25,1.1167054105988273e-06
1.298,H4,150,6,3,27.78404875209022,3033421.15,1.095944778430266e-06
1.298,H4,150,6,4,34.76991603917054,3348734.05,1.059729580874797e-06
1.298,H4,150,6,5,41.760539492026695,3664046.9499999997,1.0185327626222985e-06
1.298,H4,150,6,6,48.75386567126981,3979359.8499999996,9.767361175242869e-07
1.298,H4,150,6,7,55.49545416973504,4294672.75,9.351821068429995e-07
1.298,H4,150,6,8,59.93325909419152,4609985.65,8.879054959039371e-07
1.298,H5,200,2,2,8.531128874149275,3825185.8000000003,5.604228935448117e-07
1.298,H5,200,2,3,10.898979485566356,4065364.6000000006,5.875657892221004e-07
1.298,H5,200,2,4,11.65685424949238,4305543.4,5.704028798313892e-07
1.298,H5,200,3,2,11.65685424949238,4237764.600000001,5.795259025475438e-07
1.298,H5,200,3,3,15.615773105863909,4558003.0,6.029573697014734e-07
1.298,H5,200,3,4,19.165151389911678,4878241.4,6.053602837473974e-07
1.298,H5,200,3,5,20.807764064044157,5198479.800000001,5.838872720767925e-07
1.298,H5,200,4,2,14.72841614740048,4650343.4,5.784043172077392e-07
1.298,H5,200,4,3,19.69535971483266,5050641.4,5.900999149390921e-07
1.298,H5,200,4,4,24.67579566188592,5450939.4,5.881229995822005e-07
1.298,H5,200,4,5,29.317821063276355,5851237.4,5.773472049763817e-07
1.298,H5,200,4,6,31.874507866387546,6251535.4,5.537530130395677e-07
1.298,H5,200,5,2,17.774964387392124,5062922.2,5.684051341268989e-07
1.298,H5,200,5,3,23.747340124470732,5543279.800000001,5.714072974360128e-07
1.298,H5,200,5,4,29.730919862656236,6023637.4,5.631460447942767e-07
1.298,H5,200,5,5,35.72004514666935,6503995.0,5.497716434148576e-07
